tahun,bulan,kota_kabupaten,kecamatan,kelurahan,jumlah,jenis_kelamin 
2021,1,ADM. KEPULAUAN SERIBU,KEPULAUAN SERIBU UTARA,PULAU PANGGANG,3,0
2021,3,ADM. KEPULAUAN SERIBU,KEPULAUAN SERIBU UTARA,PULAU KELAPA,1,0
2021,6,ADM. KEPULAUAN SERIBU,KEPULAUAN SERIBU UTARA,PULAU HARAPAN,0,0
2021,3,ADM. KEPULAUAN SERIBU,KEPULAUAN SERIBU SELATAN,PULAU UNTUNG JAWA,0,0
2021,2,ADM. KEPULAUAN SERIBU,KEPULAUAN SERIBU SELATAN,PULAU TIDUNG,0,0
2021,5,ADM. KEPULAUAN SERIBU,KEPULAUAN SERIBU SELATAN,PULAU PARI,0,0
2021,7,JAKARTA PUSAT,GAMBIR,GAMBIR,1,0
2021,3,JAKARTA PUSAT,GAMBIR,CIDENG,2,0
2021,1,JAKARTA PUSAT,GAMBIR,PETOJO UTARA,2,0
2021,5,JAKARTA PUSAT,GAMBIR,PETOJO SELATAN,5,0
2021,6,JAKARTA PUSAT,GAMBIR,KEBON KELAPA,1,0
2021,2,JAKARTA PUSAT,GAMBIR,DURI PULO,4,0
2021,10,JAKARTA PUSAT,SAWAH BESAR,PASAR BARU,1,0
2021,2,JAKARTA PUSAT,SAWAH BESAR,KARANG ANYAR,8,0
2021,2,JAKARTA PUSAT,SAWAH BESAR,KARTINI,4,0
2021,4,JAKARTA PUSAT,SAWAH BESAR,GUNUNG SAHARI UTARA,7,0
2021,12,JAKARTA PUSAT,SAWAH BESAR,MANGGA DUA SELATAN,10,0
2021,4,JAKARTA PUSAT,KEMAYORAN,KEMAYORAN,6,0
2021,8,JAKARTA PUSAT,KEMAYORAN,KEBON KOSONG,5,0
2021,2,JAKARTA PUSAT,KEMAYORAN,HARAPAN MULIA,8,0
2021,11,JAKARTA PUSAT,KEMAYORAN,SERDANG,9,0
2021,6,JAKARTA PUSAT,KEMAYORAN,GUNUNG SAHARI SELATAN,3,0
2021,12,JAKARTA PUSAT,KEMAYORAN,CEMPAKA BARU,9,0
2021,4,JAKARTA PUSAT,KEMAYORAN,SUMUR BATU,4,0
2021,8,JAKARTA PUSAT,KEMAYORAN,UTAN PANJANG,11,0
2021,4,JAKARTA PUSAT,S E N E N,SENEN,1,0
2021,12,JAKARTA PUSAT,S E N E N,KENARI,2,0
2021,4,JAKARTA PUSAT,S E N E N,PASEBAN,9,0
2021,8,JAKARTA PUSAT,S E N E N,KRAMAT,8,0
2021,3,JAKARTA PUSAT,S E N E N,KWITANG,4,0
2021,7,JAKARTA PUSAT,S E N E N,BUNGUR,6,0
2021,2,JAKARTA PUSAT,CEMPAKA PUTIH,CEMPAKA PUTIH TIMUR,4,0
2021,10,JAKARTA PUSAT,CEMPAKA PUTIH,CEMPAKA PUTIH BARAT,14,0
2021,11,JAKARTA PUSAT,CEMPAKA PUTIH,RAWASARI,11,0
2021,5,JAKARTA PUSAT,MENTENG,MENTENG,7,0
2021,8,JAKARTA PUSAT,MENTENG,PEGANGSAAN,13,0
2021,2,JAKARTA PUSAT,MENTENG,CIKINI,4,0
2021,9,JAKARTA PUSAT,MENTENG,GONDANGDIA,2,0
2021,2,JAKARTA PUSAT,MENTENG,KEBON SIRIH,7,0
2021,1,JAKARTA PUSAT,TANAH ABANG,GELORA,1,0
2021,5,JAKARTA PUSAT,TANAH ABANG,BENDUNGAN HILIR,9,0
2021,7,JAKARTA PUSAT,TANAH ABANG,KARET TENGSIN,9,0
2021,3,JAKARTA PUSAT,TANAH ABANG,PETAMBURAN,6,0
2021,7,JAKARTA PUSAT,TANAH ABANG,KEBON MELATI,5,0
2021,1,JAKARTA PUSAT,TANAH ABANG,KEBON KACANG,7,0
